symbol,date,marketcap
CNC,2015-03-31,8305
CNCE,2015-03-31,291
CNET,2015-03-31,41
CNFN,2015-03-31,89
CNIG,2015-03-31,61
CNK,2015-03-31,4960
CNL,2015-03-31,3298
CNMD,2015-03-31,1433
CNO,2015-03-31,3450
CNOB,2015-03-31,577
CNP,2015-03-31,8796
CNR,2015-03-31,1128
CNRB,2015-03-31,7
CNRR,2015-03-31,17
CNS,2015-03-31,1799
CNSL,2015-03-31,1012
CNTY,2015-03-31,140
CNW,2015-03-31,2495
CNX,2015-03-31,6918
CNXM,2015-03-31,1034
CNXN,2015-03-31,670
CNXR,2015-03-31,233
CNYD,2015-03-31,10
CO,2015-03-31,408
COB,2015-03-31,239
COBZ,2015-03-31,501
CODI,2015-03-31,918
COF,2015-03-31,44215
COFS,2015-03-31,77
COG,2015-03-31,12931
COHN,2015-03-31,23
COHR,2015-03-31,1547
COHU,2015-03-31,287
